WORD,MPQA,TYPE,LEN,POS,STEM,P,PP,MP
abandoned,-1.0,weaksubj,1,adj,n,,negative,
abandonment,-1.0,weaksubj,1,noun,n,,negative,
abandon,-1.0,weaksubj,1,verb,y,,negative,
abase,-1.0,strongsubj,1,verb,y,,negative,
abasement,-1.0,strongsubj,1,anypos,y,,negative,
abash,-1.0,strongsubj,1,verb,y,,negative,
abate,-1.0,weaksubj,1,verb,y,,negative,
abdicate,-1.0,weaksubj,1,verb,y,,negative,
aberration,-1.0,strongsubj,1,adj,n,,negative,
aberration,-1.0,strongsubj,1,noun,n,,negative,
abhor,-1.0,strongsubj,1,anypos,y,,negative,
abhor,-1.0,strongsubj,1,verb,y,,negative,
abhorred,-1.0,strongsubj,1,adj,n,,negative,
abhorrence,-1.0,strongsubj,1,noun,n,,negative,
abhorrent,-1.0,strongsubj,1,adj,n,,negative,
abhorrently,-1.0,strongsubj,1,anypos,n,,negative,
abhors,-1.0,strongsubj,1,adj,n,,negative,
abhors,-1.0,strongsubj,1,noun,n,,negative,
abidance,1.0,strongsubj,1,adj,n,,positive,
abidance,1.0,strongsubj,1,noun,n,,positive,
abide,1.0,strongsubj,1,anypos,y,,positive,
abject,-1.0,strongsubj,1,adj,n,,negative,
abjectly,-1.0,strongsubj,1,adverb,n,,negative,
abjure,-1.0,weaksubj,1,verb,y,,negative,
abilities,1.0,weaksubj,1,noun,n,,positive,
ability,1.0,weaksubj,1,noun,n,,positive,
able,1.0,weaksubj,1,adj,n,,positive,
abnormal,-1.0,weaksubj,1,adj,n,,negative,
abolish,-1.0,weaksubj,1,verb,y,,negative,
abominable,-1.0,strongsubj,1,adj,n,,negative,
abominably,-1.0,strongsubj,1,anypos,n,,negative,
abominate,-1.0,strongsubj,1,verb,y,,negative,
abomination,-1.0,strongsubj,1,noun,n,,negative,
above,1.0,weaksubj,1,anypos,n,,positive,
above-average,1.0,weaksubj,1,adj,n,,positive,
abound,1.0,weaksubj,1,verb,y,,positive,
abrade,-1.0,weaksubj,1,verb,y,,negative,
abrasive,-1.0,strongsubj,1,adj,n,,negative,
abrupt,-1.0,weaksubj,1,adj,n,,negative,
abscond,-1.0,strongsubj,1,verb,y,,negative,
absence,-1.0,weaksubj,1,noun,n,,negative,
absentee,-1.0,weaksubj,1,anypos,y,,negative,
absent-minded,-1.0,strongsubj,1,adj,n,,negative,
absolve,1.0,strongsubj,1,verb,y,,positive,
