WORD,OPENER,POL
abandoned,-1,negative
abandonment,-1,negative
abandon,-1,negative
abase,-1,negative
abasement,-1,negative
abash,-1,negative
abate,-1,negative
abdicate,-1,negative
aberration,-1,negative
aberration,-1,negative
abhor,-1,negative
abhor,-1,negative
abhorred,-1,negative
abhorrence,-1,negative
abhorrent,-1,negative
abhorrently,-1,negative
abhors,-1,negative
abhors,-1,negative
abidance,1,positive
abidance,1,positive
abide,1,positive
abject,-1,negative
abjectly,-1,negative
abjure,-1,negative
abilities,1,positive
ability,1,positive
able,1,positive
abnormal,-1,negative
abolish,-1,negative
abominable,-1,negative
abominably,-1,negative
abominate,-1,negative
abomination,-1,negative
above,1,positive
above-average,1,positive
abound,1,positive
abrade,-1,negative
abrasive,-1,negative
abrupt,-1,negative
abscond,-1,negative
absence,-1,negative
absentee,-1,negative
absent-minded,-1,negative
absolve,1,positive
absolute,0,neutral
absolutely,0,neutral
absorbed,0,neutral
absurd,-1,negative
absurdity,-1,negative
absurdly,-1,negative
absurdness,-1,negative
abundant,1,positive
abundance,1,positive
abuse,-1,negative
abuse,-1,negative
abuse,-1,negative
abuses,-1,negative
abuses,-1,negative
abusive,-1,negative
abysmal,-1,negative
abysmally,-1,negative
abyss,-1,negative
accede,1,positive
accentuate,0,neutral
accept,1,positive
acceptance,1,positive
acceptable,1,positive
accessible,1,positive
accidental,-1,negative
acclaim,1,positive
acclaim,1,positive
acclaimed,1,positive
acclamation,1,positive
accolade,1,positive
accolades,1,positive
accommodative,1,positive
accomplish,1,positive
accomplishment,1,positive
accomplishments,1,positive
accord,1,positive
accordance,1,positive
accordantly,1,positive
accost,-1,negative
accountable,-1,negative
accurate,1,positive
accurately,1,positive
accursed,-1,negative
accusation,-1,negative
accusation,-1,negative
accusations,-1,negative
accusations,-1,negative
accuse,-1,negative
accuses,-1,negative
accusing,-1,negative
accusingly,-1,negative
acerbate,-1,negative
acerbic,-1,negative
acerbically,-1,negative
ache,-1,negative
achievable,1,positive
achieve,1,positive
achievement,1,positive
achievements,1,positive
acknowledge,1,positive
acknowledgement,1,positive
acquit,1,positive
acrid,-1,negative
acridly,-1,negative
acridness,-1,negative
acrimonious,-1,negative
acrimoniously,-1,negative
acrimony,-1,negative
active,1,positive
activist,0,neutral
activist,0,neutral
actual,0,neutral
actuality,0,neutral
actually,0,neutral
acumen,1,positive
adamant,-1,negative
adamantly,-1,negative
adaptable,1,positive
adaptability,1,positive
adaptive,1,positive
addict,-1,negative
addiction,-1,negative
adept,1,positive
adeptly,1,positive
adequate,1,positive
adherence,1,positive
adherent,1,positive
adhesion,1,positive
admirable,1,positive
admirer,1,positive
admirable,1,positive
admirably,1,positive
admiration,1,positive
admire,1,positive
admiring,1,positive
admiringly,1,positive
admission,1,positive
admission,1,positive
admit,1,positive
admittedly,1,positive
admonish,-1,negative
admonisher,-1,negative
admonishingly,-1,negative
admonishment,-1,negative
admonition,-1,negative
adolescents,0,neutral
adolescents,0,neutral
