WORD,VADER,STD
$:,-0.375,0.80623
%),-0.1,1.0198
%-),-0.375,1.43178
&-:,-0.1,1.42829
&:,-0.175,0.64031
( '}{' ),0.4,0.66332
(%,-0.225,0.9434
('-:,0.55,1.16619
(':,0.575,0.9
((-:,0.525,0.53852
(*,0.275,1.13578
(-%,-0.175,1.26886
(-*,0.325,1.26886
(-:,0.4,0.8
(-:0,0.7,0.87178
(-:<,-0.1,2.15407
(-:o,0.375,0.67082
(-:O,0.375,0.67082
(-:{,-0.025,1.57797
(-:|>*,0.475,0.83066
(-;,0.325,1.18743
(-;|,0.525,1.13578
(8,0.65,1.0198
(:,0.55,1.16619
(:0,0.6,1.11355
(:<,-0.05,2.03961
(:o,0.625,0.92195
(:O,0.625,0.92195
(;,0.275,1.22066
(;<,0.075,1.00499
(=,0.55,1.16619
(?:,0.525,0.83066
(^:,0.375,0.67082
(^;,0.375,0.5
(^;0,0.5,0.7746
(^;o,0.475,0.83066
(o:,0.4,0.8
)':,-0.5,0.44721
)-':,-0.525,0.53852
)-:,-0.525,0.9434
)-:<,-0.55,0.4
)-:{,-0.525,0.9434
):,-0.45,0.87178
):<,-0.475,0.53852
):{,-0.575,0.78102
);<,-0.65,0.8
*),0.15,1.42829
*-),0.075,1.61555
*-:,0.525,1.51327
*-;,0.6,1.62481
*:,0.475,1.04403
*<|:-),0.4,1.28062
*\0/*,0.575,1.00499
*^:,0.4,1.42829
",-:",0.3,0.4
---'-;-{@,0.575,1.18743
--<--<@,0.55,1.249
.-:,-0.3,0.4
..###-:,-0.425,0.78102
..###:,-0.475,1.04403
/-:,-0.325,0.64031
/:,-0.325,0.45826
/:<,-0.35,0.4899
/=,-0.225,0.53852
/^:,-0.25,0.7746
/o:,-0.35,0.66332
0-8,0.025,1.44568
0-|,-0.3,0.4
0:),0.475,1.04403
0:-),0.35,0.91652
0:-3,0.375,0.92195
0:03,0.475,1.22066
0;^),0.4,0.91652
0_o,-0.075,0.78102
10q,0.525,1.22066
1337,0.525,1.13578
143,0.8,0.74833
1432,0.65,0.8
14aa41,0.6,0.91652
182,-0.725,1.3
187,-0.775,1.22066
2g2b4g,0.7,0.6
2g2bt,-0.025,1.57797
2qt,0.525,0.83066
3:(,-0.55,0.87178
3:),0.125,1.28452
3:-(,-0.575,0.78102
3:-),-0.35,1.35647
4col,-0.55,1.16619
4q,-0.775,1.51327
5fs,0.375,1.11803
8),0.475,0.7
8-d,0.425,0.64031
8-o,-0.075,0.78102
86,-0.4,1.0198
8d,0.725,0.53852
:###..,-0.6,0.91652
:$,-0.05,1.83303
:&,-0.15,1.0198
:'(,-0.55,0.74833
:'),0.575,0.78102
:'-(,-0.6,0.66332
:'-),0.675,0.64031
:(,-0.475,1.13578
:),0.5,1.18322
:*,0.625,1.0247
:-###..,-0.625,0.92195
:-&,-0.125,0.92195
:-(,-0.375,0.5
:-),0.325,0.45826
:-)),0.7,1.07703
:-*,0.425,0.64031
":-,",0.275,0.53852
:-.,-0.225,0.53852
:-/,-0.3,0.6
:-<,-0.375,0.5
:-d,0.575,0.45826
:-D,0.575,0.45826
:-o,0.025,1.3
:-p,0.3,0.4
:-[,-0.4,0.4899
:-\,-0.225,0.3
:-c,-0.325,0.45826
:-p,0.375,0.5
:-|,-0.175,0.64031
:-||,-0.625,0.67082
:-Þ,0.225,1.04403
:/,-0.35,0.66332
:3,0.575,1.26886
:<,-0.525,0.7
:>,0.525,1.22066
:?),0.325,0.64031
:?c,-0.4,0.4899
:@,-0.625,0.80623
:d,0.575,1.1
:D,0.575,1.1
:l,-0.425,0.9
:o,-0.1,1.35647
:p,0.25,0.7746
:s,-0.3,0.9798
:[,-0.5,0.63246
:\,-0.325,0.45826
:],0.55,1.16619
:^),0.525,1.13578
:^*,0.65,0.91652
:^/,-0.3,0.6
:^\,-0.25,0.44721
:^|,-0.25,0.0
:c,-0.525,0.83066
:c),0.5,1.18322
:o),0.525,0.9434
:o/,-0.35,0.4899
:o\,-0.275,0.3
:o|,-0.15,1.0198
:P,0.35,0.8
:{,-0.475,0.83066
:|,-0.1,1.11355
:},0.525,1.22066
:Þ,0.275,0.53852
;),0.225,1.04403
;-),0.25,1.73205
;-*,0.55,0.74833
;-],0.175,1.67631
;d,0.2,1.249
;D,0.2,1.249
;],0.15,1.11355
;^),0.35,0.91652
</3,-0.75,1.0
<3,0.475,1.13578
<:,0.525,1.13578
<:-|,-0.35,0.66332
=),0.55,1.16619
=-3,0.5,0.63246
=-d,0.6,0.91652
=-D,0.6,0.91652
=/,-0.35,0.91652
=3,0.525,0.7
=d,0.575,0.45826
=D,0.575,0.45826
=l,-0.3,0.6
